sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
bd2aa024-68e7-43c2-aa87-afce9b4d7cf1::t2,POS_exact_entity_success_control,positive_control,current_config,Shut Up and Dance,WALK THE MOON,5,5,1,bm25,8,True,True,True,True,True,True,True,True,True,True
028027d3-ad67-4cfb-baca-516772ae7399::t1,POS_exact_entity_success_control,positive_control,current_config,Toxic,Britney Spears,1,1,1,bm25,9,True,True,True,True,True,True,True,True,True,True
fada63d6-1275-47a1-b3ab-30eae222fd72::t1,POS_exact_entity_success_control,positive_control,current_config,Toxic,Britney Spears,1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
7c3154c5-d1c2-4f07-9b8d-96d187334f1b::t1,POS_exact_entity_success_control,positive_control,current_config,Way Down We Go,"Kaleo, KALEO",1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
ba3da7b0-1e81-4d2a-90fa-65ee1f4d7348::t1,POS_exact_entity_success_control,positive_control,current_config,Heart-Shaped Box,Nirvana,1,2,1,bm25,10,True,True,True,True,True,True,True,True,True,True
3664db63-1623-4ae7-9910-dd8bc3c2bd83::t1,POS_exact_entity_success_control,positive_control,current_config,No Scrubs,TLC,1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
7b550636-72fe-490e-ad38-a1912d08449f::t1,POS_exact_entity_success_control,positive_control,current_config,Believe,Cher,1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t8,POS_clean_final_hit_control,positive_control,current_config,Feel Good Inc,Gorillaz,2,2,1,lookup.resolved_artist_discography,8,True,True,True,True,True,True,True,True,True,True
4a02d862-623b-4fab-a42c-2905f31a96db::t1,POS_clean_final_hit_control,positive_control,current_config,Dreams - 2004 Remaster,Fleetwood Mac,3,3,1,lookup.era_popularity,8,True,True,True,True,True,True,True,True,True,True
5b44bff3-76ed-495e-9dc1-0f075e3d178b::t1,POS_clean_final_hit_control,positive_control,current_config,Dreams - 2004 Remaster,Fleetwood Mac,20,33,1,lookup.era_popularity,5,True,True,True,True,True,True,True,True,True,True
a61b366c-8cf5-48ad-a13f-181c033b9d89::t2,POS_clean_final_hit_control,positive_control,current_config,Pumped Up Kicks,Foster The People,117,137,117,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,7,False,False,False,True,True,False,False,False,True,True
55388720-92b7-4972-9bb2-beb37c33c86b::t1,POS_clean_final_hit_control,positive_control,current_config,Ivy,Frank Ocean,5,6,1,bm25,9,True,True,True,True,True,True,True,True,True,True
13552d56-f3d8-443a-9272-11ec16c80fa1::t1,POS_clean_final_hit_control,positive_control,current_config,Congratulations,"Quavo, Post Malone",,,,,3,False,False,False,False,False,False,False,False,False,False
737a65cf-9c45-4b1d-910d-2f1f1ef5eab7::t3,POS_clean_final_hit_control,positive_control,current_config,DARE,Gorillaz,14,14,3,lookup.resolved_artist_discography,8,True,True,True,True,True,True,True,True,True,True
93199894-d3db-4335-8278-e1be175944e4::t1,POS_clean_final_hit_control,positive_control,current_config,Even Flow,Pearl Jam,1,1,1,bm25,7,True,True,True,True,True,True,True,True,True,True
a9b423bf-d05c-418d-98af-2a3b1e1d7917::t1,POS_clean_final_hit_control,positive_control,current_config,It Was A Good Day,Ice Cube,2,2,1,lookup.resolved_artist_discography,10,True,True,True,True,True,True,True,True,True,True
5080d5a0-336e-4bd1-b5bc-4cc611983429::t1,POS_clean_final_hit_control,positive_control,current_config,Rock with You - Single Version,Michael Jackson,1,1,1,bm25,8,True,True,True,True,True,True,True,True,True,True
