sample_id,pack,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
78cdaccb-0f9b-4876-80b1-c20bf0b444e6::t8,P0_roleless_stale_entity_failure,clap_all,In the Shadows,The Rasmus,,,,,4,False,False,False,False,False,False,False,False,False,False
d9a65836-7165-45bf-aa3e-3ef7ba5d073a::t2,P0_roleless_stale_entity_failure,clap_all,Move Along,The All-American Rejects,586,883,539,bm25,5,False,False,False,False,True,False,False,False,False,True
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,clap_all,Used To,"Lil Wayne, Drake",636,332,258,dense.clap_text.sonic.audio_laion_clap,5,False,False,False,False,True,False,False,False,False,True
daeef24e-b041-4140-9101-882820c63408::t7,P0_novelty_prior_anchor_failure,clap_all,The Analog Kid,Rush,483,483,104,bm25,5,False,False,False,True,True,False,False,False,False,True
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,clap_all,God Hates a Coward,Tomahawk,,,828,bm25,4,False,False,False,False,True,False,False,False,False,False
5f085552-b56b-440e-830b-b4e40b58f854::t6,P0_novelty_prior_anchor_failure,clap_all,Redneck Yacht Club,Craig Morgan,27,62,55,dense.clap_text.sonic_nl.audio_laion_clap,5,False,False,True,True,True,False,True,True,True,True
8bcb7d16-9be0-40cc-9a9d-28b654997b8d::t6,P0_novelty_prior_anchor_failure,clap_all,Exit Theme (feat. Astronautalis & Lotte Kestner),"Astronautalis, Sadistik, Lotte Kestner",288,282,189,dense.clap_text.sonic_nl.audio_laion_clap,4,False,False,False,True,True,False,False,False,False,True
a930da0d-07f1-46c6-909d-e4fd95ae1148::t6,P0_new_artist_union20_gap_failure,clap_all,Without You,Christina Aguilera,,,,,4,False,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,clap_all,Hong Kong 2046,Hong Kong Express,,,,,4,False,False,False,False,False,False,False,False,False,False
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,clap_all,Sparks,Hilary Duff,51,112,89,bm25,5,False,False,True,True,True,False,False,True,True,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,clap_all,Acknowledge,Masta Ace,568,671,333,dense.clap_text.sonic_nl.audio_laion_clap,5,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,clap_all,Two To Make It Right,Seduction,381,494,335,dense.clap_text.sonic.audio_laion_clap,5,False,False,False,False,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,clap_all,Love Train,The O'Jays,558,679,193,bm25,5,False,False,False,True,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,clap_all,Leraine,Kettel,11,32,7,dense.clap_text.sonic_nl_enriched.audio_laion_clap,5,True,True,True,True,True,True,True,True,True,True
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,clap_all,Thriller,Fall Out Boy,,,530,bm25,6,False,False,False,False,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,clap_all,Breath and Life,Audiomachine,,,783,dense.clap_text.sonic_nl.audio_laion_clap,5,False,False,False,False,True,False,False,False,False,False
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,clap_all,Constant Craving - Remastered,k.d. lang,,,,,5,False,False,False,False,False,False,False,False,False,False
